LAKE NAME,DATE,SECCHI,LAKE TEMP,TIME,Year,Month,Day
Skyles,8/29/1994,1.49352,21.0,10:00,1994,8,29
Flathead Woods Bay,8/30/1994,3.529584,19.5,10:00,1994,8,30
Flathead North East Shore,8/30/1994,2.505456,19.0,9:35,1994,8,30
Upper Stillwater,8/31/1994,2.002536,16.0,15:00,1994,8,31
Flathead Marco Bay,9/1/1994,2.40792,18.0,19:00,1994,9,1
Jette,9/1/1994,1.4478,25.5,11:00,1994,9,1
Glen,9/2/1994,1.749552,18.0,15:00,1994,9,2
Ashley,9/5/1994,3.90144,12.8,11:25,1994,9,5
Ashley,9/5/1994,2.9718,9.8,3:50,1994,9,5
Bailey,9/5/1994,1.588008,21.6,13:20,1994,9,5
Flathead Sessions Point,9/5/1994,2.228088,20.0,9:45,1994,9,5
Flathead Rollins Bay 2,9/5/1994,2.86512,22.0,17:00,1994,9,5
Flathead Rollins Bay 1,9/5/1994,2.286,25.0,17:00,1994,9,5
